城市,职业类型,总岗位数,包住宿岗位数,有保险岗位数,住宿提供率_百分比,保险提供率_百分比,平均薪资_元
beijing,模特展示,1,0,0,0.0,0.0,15000.0
beijing,司机,24,8,2,33.3,8.3,12958.0
beijing,按摩理疗,3,1,0,33.3,0.0,11333.0
beijing,外卖配送,4,0,0,0.0,0.0,11325.0
beijing,其他职业,23,3,3,13.0,13.0,10539.0
beijing,快递配送,1,0,0,0.0,0.0,10500.0
beijing,护理育婴,3,1,0,33.3,0.0,10167.0
beijing,普工包装,5,0,0,0.0,0.0,8630.0
beijing,销售营销,1,0,0,0.0,0.0,8000.0
beijing,安保安检,5,1,0,20.0,0.0,6630.0
chongqing,模特展示,4,0,0,0.0,0.0,11875.0
chongqing,司机,3,0,0,0.0,0.0,10300.0
chongqing,销售营销,2,0,0,0.0,0.0,9500.0
chongqing,按摩理疗,3,0,0,0.0,0.0,9167.0
chongqing,外卖配送,12,0,0,0.0,0.0,7957.0
chongqing,其他职业,32,4,1,12.5,3.1,7789.0
chongqing,普工包装,9,1,0,11.1,0.0,6806.0
chongqing,服务接待,4,0,0,0.0,0.0,6750.0
chongqing,客服电话,1,1,0,100.0,0.0,5000.0
guangzhou,司机,11,0,0,0.0,0.0,11709.0
guangzhou,客服电话,1,0,1,0.0,100.0,11500.0
guangzhou,快递配送,1,0,0,0.0,0.0,11500.0
guangzhou,按摩理疗,1,0,0,0.0,0.0,10000.0
guangzhou,模特展示,4,0,0,0.0,0.0,10000.0
guangzhou,护理育婴,4,0,0,0.0,0.0,9625.0
guangzhou,其他职业,29,5,3,17.2,10.3,8506.0
guangzhou,健身教练,11,0,0,0.0,0.0,8000.0
guangzhou,销售营销,1,0,0,0.0,0.0,8000.0
guangzhou,普工包装,4,0,0,0.0,0.0,7569.0
guangzhou,服务接待,3,1,0,33.3,0.0,6067.0
shanghai,健身教练,1,0,0,0.0,0.0,22500.0
shanghai,按摩理疗,1,1,0,100.0,0.0,13500.0
shanghai,司机,23,6,1,26.1,4.3,13396.0
shanghai,客服电话,1,0,0,0.0,0.0,12500.0
shanghai,快递配送,1,0,0,0.0,0.0,12500.0
shanghai,护理育婴,1,1,0,100.0,0.0,11500.0
shanghai,外卖配送,2,0,0,0.0,0.0,11000.0
shanghai,模特展示,7,0,0,0.0,0.0,10500.0
shanghai,其他职业,28,4,0,14.3,0.0,10296.0
shanghai,普工包装,1,0,0,0.0,0.0,9000.0
shanghai,服务接待,4,1,0,25.0,0.0,6375.0
shenzhen,外卖配送,1,0,0,0.0,0.0,10083.0
shenzhen,司机,6,0,0,0.0,0.0,10042.0
shenzhen,其他职业,37,2,2,5.4,5.4,9834.0
shenzhen,按摩理疗,5,0,0,0.0,0.0,9700.0
shenzhen,护理育婴,1,0,0,0.0,0.0,8000.0
shenzhen,健身教练,1,0,0,0.0,0.0,8000.0
shenzhen,普工包装,10,1,1,10.0,10.0,7672.0
shenzhen,模特展示,1,0,0,0.0,0.0,7000.0
shenzhen,服务接待,8,1,0,12.5,0.0,6137.0
taiyuan,护理育婴,1,0,0,0.0,0.0,11500.0
taiyuan,司机,4,0,0,0.0,0.0,8750.0
taiyuan,外卖配送,1,0,0,0.0,0.0,8000.0
taiyuan,销售营销,2,0,0,0.0,0.0,7500.0
taiyuan,按摩理疗,1,0,0,0.0,0.0,6500.0
taiyuan,快递配送,1,0,0,0.0,0.0,6500.0
taiyuan,其他职业,12,0,0,0.0,0.0,5471.0
taiyuan,普工包装,2,1,0,50.0,0.0,5250.0
taiyuan,客服电话,1,0,1,0.0,100.0,4500.0
taiyuan,安保安检,2,0,1,0.0,50.0,4175.0
taiyuan,服务接待,2,0,0,0.0,0.0,4000.0
