"职业","工作地址","薪资"
"周末双休｜穿搭有点累工资还OK","体育西路","10000-12000元"
"越秀区包住急聘","共和路","面议"
"周末双休五险一金月1.3w","员村","8000-13000元"
"长湴工资日结网约车司机","长湴","8500-15000元"
"大龄试衣有点累但工资还OK","科韵路","8000-12000元"
"急招可短期试跑C1司机","机场路","8500-13500元"
"中老年女装模特可不露脸","广州大…","8000-12000元"
"中大龄女装模特可新人微胖","华洲","8000-12000元"
"招零基础健身教练助教包吃住（…","东平","面议"
"中老年女装模特可不露脸","广州大…","8000-12000元"
"健身房直招健身教练学徒保底4…","人和","面议"
"诚聘网约车派单保底9k","南湖","9000-10000元"
"可长期公司司机保底8k","珠江新…","9000-15000元"
"会员多教练忙不过来招健身教练…","滨江中","面议"
"退伍军人健身教练学徒","广州大…","面议"
"高薪急招月嫂阿姨","永泰","8000-13000元"
"时间自由日结底薪1w","从化区","10000-13500元"
"快递员长白班婚假月1.3w","秀全","10000-13000元"
"月入过万高薪聘请育婴师","永泰","8000-12000元"
"食品加工厂招送物料司机","桂花岗","9500-13500元"
"天河区工作环境轻松","邵阳","8000-16000元"
"艾灸技师（早九晚六）","大石","5000-10000元"
"周结/时间自由网约车司机","嘉禾望岗","12500-15000元"
"教练不够招学徒","龙归","面议"
"会员太多教练忙招巡场学徒","同和","面议"
"接送员周结手机导航","花都","8000-13000元"
"月休4天五险包吃包住","龙归","3500-7000元"
"月1w/无需经验者","华师","5000-10000元"
"美容助理（月8000包吃）","金沙洲","6000-8000元"
"网约车司机退车不扣车损","东圃","12500-13500元"
"广州跑单司机就近安排","白云","9000-14000元"
"急招零基础健身教练学徒","嘉禾望岗","面议"
"『照顾孩子』1.2万请新手熟…","共和路","面议"
"月嫂周末双休","体育西路","面议"
"网约车司机保底8000多劳多得","白云","9000-12000元"
"国企护工产康师照顾孩子起薪8…","中山路","8000-12000元"
"物流司机短途运输点对点","荔湾","10000-13000元"
"货运司机（接单）","荔湾","10000-13000元"
"新店招储备教练带薪包吃住","太和","面议"
"新店开业健身私人教练不够急招…","黄埔","面议"
"健身房会员多教练忙招助教","广州","面议"
"连锁店招健身教练学徒小白","白云","面议"
"白云新店5k包吃包住西点学徒","景泰","面议"
"酒吧营销8K起包吃住","西村","6000-10000元"
"适合新手的服装展示员8k","嘉禾望岗","7000-9000元"
"公司开车短途送货免装卸","新塘","7000-10000元"
"电商分拣打包30/时包吃住接…","花都","5710-8154元"
"酒吧服务员","珠江新…","面议"
"食品厂贴标签分拣29/时包吃…","南海神庙","6500-8500元"
"火锅店服务员18岁起食宿","长兴","3900-4500元"
"番禺南村包装25元/时人走账清","南村镇","6500-7500元"
"零食大礼包包装30一小时包吃住","番禺","8200-8400元"
"抖音主播带货","新市","面议"
"捷普总厂月入7K坐班免费体检…","黄埔","7000-8500元"
"五险包吃包住6-8k烘焙师助理","永泰","面议"
"送货司机固定线路/不体检","花都","8800-12800元"
"普工小厂包吃住坐班不体检","沙湾","7000-8000元"
"有经验的综合门诊医生有食宿","朱村","10000-12000元"
"高薪甜品学徒福利待遇好","嘉禾望岗","面议"
"迎宾接待福利好吃住","市桥","4000-8000元"
"主播","太和","面议"
"诚招K歌沐足技师（福利好/免…","万博","10000-15000元"
"直播运营中控","石楼","5000-8000元"
"泰式按摩技师福利多丽影店","客村","8000-12000元"
"银行催收客服五险一金","珠村","8000-15000元"
"后厨","西门口","6000-8000元"
"电子厂普工坐班月入8千包吃住","香雪","6500-8450元"
"急招化妆品设计师薪资高福利待…","广州","6000-10000元"
"AOI测试员","镜湖大道","5000-8000元"
"适合新手职位、8K包吃住","南湖","7000-9000元"
