城市,价格区间,房源数量,平均面积
beijing,5万到8万,14,121.2
beijing,8万以上,5,152.4
beijing,1万以下,4,254.3
beijing,3万到5万,2,88.0
beijing,1万到3万,1,84.0
chongqing,1万以下,20,109.7
chongqing,1万到3万,6,116.3
chongqing,3万到5万,2,212.0
guangzhou,1万到3万,6,101.2
guangzhou,1万以下,6,104.2
guangzhou,8万以上,5,160.3
guangzhou,5万到8万,5,144.2
guangzhou,3万到5万,3,96.7
shanghai,3万到5万,11,121.0
shanghai,5万到8万,6,120.0
shanghai,1万到3万,5,107.6
shanghai,8万以上,3,132.7
shenzhen,5万到8万,9,128.8
shenzhen,8万以上,8,175.1
shenzhen,3万到5万,4,61.6
shenzhen,1万以下,2,179.8
shenzhen,1万到3万,2,175.3
taiyuan,1万以下,7,142.5
taiyuan,1万到3万,1,45.0
